question,correct,option1,option2,option3,option4
#マス１の問題
「を見なす」の意味を持つ英単語は？,consider,consideration,consider,considerable,considerate
「決定的な」の意味を持つ英単語は？,decisive,decision,decider,decide,decisive
「提案」の意味を持つ英単語は？,suggestion,suggestion,suggest,suggestive,suggester
#マス2の問題
「独創」の意味を持つ英単語は？,creative,create,creatable,creative,creation
「を開発する」の意味を持つ英単語は？,develop,develop,development,developing,developed
「感動的な」の意味を持つ英単語は？,touching,touchy,touching,touched,touch
#マス3の問題
「巧みな」の意味を持つ英単語は？,skillful,skillful,skilly,skilled,skill
「文化の」の意味を持つ英単語は？,cultural,culturist,cultural,culture,culturable
「敏感な」の意味を持つ英単語は？,sensitive,senser,sensible,sense,sensitive
#マス4の問題
「終点の」の意味を持つ英単語は？,terminal,termless,terminal,term,long-term
「自然の」の意味を持つ英単語は？,natural,naturist,nature,naturally,natural
「興味」の意味を持つ英単語は？,interest,interest,disinterest,interesting,interested
#マス5の問題
「老いつつある」の意味を持つ英単語は？,aging,aged,aging,ageless,age
「注意深い」の意味を持つ英単語は？,careful,caress,careless,careful,care
「確かさ」の意味を持つ英単語は？,certainty,certainly,certainty,uncertain,certain
#マス6の問題
「明らかな」の意味を持つ英単語は？,clear,clearly,clearice,clear,clearance
「可能性」の意味を持つ英単語は？,possibility,possibility,possible,impossible,possibly
「似ている」の意味を持つ英単語は？,similar,similar,similarly,dissimilar,similarity
#マス7の問題
「特定の」の意味を持つ英単語は？,specifical,specifical,specific,specification,specify
「個人主義」の意味を持つ英単語は？,individualism,individuality,individualism,individualist,individual
「本当に」の意味を持つ英単語は？,really,really,reality,realize,real
#マス8の問題
「愛情」の意味を持つ英単語は？,affection,affection,affected,affect,affecter
「論じうる」の意味を持つ英単語は？,arguable,arguable,argument,argue,arguer
「反対する」の意味を持つ英単語は？,object,object,objective,objectify,objection
#マス9の問題
「多様性」の意味を持つ英単語は？,variety,varied,vary,variation,variety
「を含む」の意味を持つ英単語は？,include,inclusion,include,including,inclusive
「関連」の意味を持つ英単語は？,relation,relationship,relative,relation,relate
#マス10の問題
「言及する」の意味を持つ英単語は？,refer,reference,referent,refer,referral
「歓迎会」の意味を持つ英単語は？,reception,receivable,receipt,reception,receive
「損失」の意味を持つ英単語は？,loss,imlost,loss,lose,lost
#マス11の問題
「回避」の意味を持つ英単語は？,avoidance,avoid,avoidance,acoidable,avoidant
「予防できる」の意味を持つ英単語は？,preventable,preventive,prevent,prevention,preventable
「乱暴な」の意味を持つ英単語は？,bearish,forebear,unbearable,bear,bearish
#マス12の問題
「と思う」の意味を持つ英単語は？,suppose,supposedly,suppose,supposable,supposed
「想像上の」の意味を持つ英単語は？,imaginary,imagine,imaginative,imaginary,imagination
「に関しては」の意味を持つ英単語は？,regarding,regard,regarding,regardless,regardant
#マス13の問題
